NOM_SITE,Annee,Temperature,Salinite,Oxygene,pH,NH4,NO3,NO2,PO4,SiO4,COP,MES,CHLA,DN15,DC13,CN
Portzic,2009,13.4765,34.8235,6.075,8.035,0.595,2.865,0.14,0.2,4.78,170.25,1.515,0.9,6.08,-21.24,6.31
Portzic,2010,12.661,34.501,6.09,8.05,0.585,6.12,0.21,0.2,3.3,166.054,1.047,0.77,6.36,-21.88,6.28
Portzic,2011,14.3485,35.0815,5.95,8,0.595,3.475,0.2,0.23,4.385,134.162,0.9075,0.625,6.204,-21.64,6.43
Portzic,2012,12.749,34.832,6,8.07,0.57,3.6,0.21,0.2,3.84,139.88,1.2,0.61,6.171,-21.883,6.501
Portzic,2013,12.479,34.606,6.05,8.05,0.57,7.24,0.26,0.18,3.74,147.093,1.23,0.79,5.7,-21.7,6.7
Portzic,2014,13.7,34.1985,5.97,8,0.556,5.085,0.245,0.18,3.535,153.47,1.143,0.76,6.58,-21.42,6.57
Portzic,2015,13.629,34.8165,5.985,7.98,0.3675,2.17,0.185,0.22,3.67,141.4,1.37,0.78,6.525,-21.8165,6.8225
Portzic,2016,14.45,34.791,6.065,7.995,0.4465,1.955,0.15,0.16,2.56,154.843,1.023,0.805,6.304,-21.904,6.4205
Sete,2015,17.9245,37.0075,5.775,NA,NA,0.27,0.01,0.06,1.31,185.1,1.23,0.505,NA,NA,NA
Sola,1997,18.97,37.28,NA,NA,0.11,0.175,NA,NA,NA,NA,NA,0.37,NA,NA,NA
Sola,1998,16.43,37.87,5.67,NA,0.115,0.38,NA,NA,NA,NA,NA,0.2,NA,NA,NA
Sola,1999,16.143,37.586,5.88,NA,0.17,0.89,NA,0.03,0.73,NA,NA,0.35,NA,NA,NA
Sola,2000,17.209,37.772,6.03,NA,0.25,0.86,0.055,0.03,1.3,NA,NA,0.43,NA,NA,NA
Sola,2001,18.309,37.572,5.64,NA,0.21,0.08,0.05,0.03,1.43,NA,NA,0.27,NA,NA,NA
Sola,2002,17.511,37.672,5.41,8.14,0.19,0.38,0.06,0.01,1.75,NA,0.54,0.58,NA,NA,NA
Sola,2003,16.2285,37.6165,5.69,8.135,0.22,0.445,0.065,0.02,1.435,90.84,0.485,0.555,NA,NA,NA
Sola,2004,12.353,37.505,5.64,8.03,0.28,0.37,0.03,0.01,1.115,120.38,1.25,0.37,NA,NA,NA
Sola,2005,18.422,37.989,5.82,8.13,0.275,0.31,0.035,0.03,1.085,173.98,1.7,0.24,NA,NA,NA
Sola,2006,17.5195,37.9515,5.48,8.18,0.42,0.55,0.095,0.045,0.69,130.105,1.13,0.395,NA,NA,NA
Sola,2007,15.44,37.841,5.86,8.14,0.29,0.445,0.065,0.01,0.62,76.56,1.01,0.38,NA,NA,NA
Sola,2008,17.455,37.803,5.87,8.19,0.09,0.19,0.04,0.03,0.91,91.11,1.065,0.325,NA,NA,NA
Sola,2009,15.8655,37.7595,5.455,8.07,0.4,0.275,0.035,0.03,1.025,73.235,1.555,0.31,NA,NA,NA
Sola,2010,14.66,37.536,5.57,8.23,0.07,0.6,0.1,0.02,1.81,85.96,1.4,0.36,4.14,-22.95,6.27
Sola,2011,17.143,37.665,5.44,8.2,0.02,0.23,0.03,0.01,0.92,87.06,1.575,0.37,4.605,-22.32,6.985
Sola,2012,15.777,37.9885,5.415,8.37,0.04,0.37,0.06,0.03,1.41,80.39,1.43,0.32,4.345,-22.595,6.995
Sola,2013,14.955,37.756,5.655,8.17,0.048,0.355,0.025,0.04,1.08,93.1095,1.78,0.465,4.495,-23.05,6.472
Sola,2014,17.4905,37.731,5.2,8.13,0.058,0.17,0.02,0.01,0.89,129.76,1.072,0.535,4.05,-23.05,6.43
Sola,2015,15.979,37.872,5.565,8.13,0.068,0.29,0.035,0.02,1.23,100.048,1.0045,0.635,5.035,-23.39,6.855
