NOM_SITE,Annee,Mois,Temperature,Salinite,Oxygene,pH,NH4,NO3,NO2,PO4,SiO4,COP,MES,CHLA,DN15,DC13,CN
pK 67,2001,10,18,16.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pK 67,2001,11,15.02,23.3,4.8,7.95,NA,34.49,0.55,0.66,26.73,1000,83.275,0.59,NA,NA,NA
pK 67,2002,1,7.37,26.45,6.29,7.89,NA,37.41,0.56,0.83,21.71,380,17.47,0.32,NA,NA,NA
pK 67,2002,3,9.86,26.2,5.95,8.15,0.41,29.49,0.15,0.41,16.41,940,42.52,18.09,NA,NA,9.14
pK 67,2002,4,12.03,19.86,5.66,7.86,NA,42.57,0.34,1.13,13.14,2660,565.675,2.28,NA,NA,NA
pK 67,2002,5,14.525,19.8,5.56,8.08,0.27,56.27,0.36,1.65,55.1,570,8.66,1.13,NA,NA,16.63
pK 67,2002,6,19.1,14.575,5.7,8.45,NA,25.97,0.1,0.66,27.91,1180,88.945,3.92,NA,NA,NA
pK 67,2002,7,18.705,22.61,5.25,NA,NA,52.49,1.93,0.05,38.42,270,93.41,2.18,NA,NA,5.25
pK 67,2002,8,20.305,24.6,4.07,8.12,1.01,23.55,0.83,0.04,22.93,2640,121.55,1.8,NA,NA,28
pK 67,2002,9,19.54,23.98,4.7,8.07,NA,10.49,0.57,0.03,20.46,1300,99.45,NA,NA,NA,25.28
pK 67,2002,10,15.45,23.76,5.33,7.99,0.3,13.5,0.94,1.42,49.4,NA,255,1.39,NA,NA,NA
pK 67,2002,11,14.18,15.94,NA,8.07,NA,NA,NA,NA,NA,NA,377,NA,NA,NA,NA
pK 67,2003,1,8.34,20.82,NA,7.94,0.04,67.54,0.07,0.84,28.58,1910,97.93,0.86,NA,NA,NA
pK 67,2003,3,9.99,18.81,NA,8.45,2.39,78.68,0.13,0.74,51.37,NA,97.93,1.49,NA,NA,NA
pK 67,2003,4,13.9,21.105,NA,8.07,0.52,40.1,0.19,1.12,36.28,2280,121.1,2.57,NA,NA,NA
pK 67,2003,5,16.075,20.975,NA,7.99,0.56,14.26,0.16,0.59,25.55,1170,176.585,2.32,NA,NA,NA
pK 67,2003,6,19.945,21.21,NA,8.08,0.53,41.68,0.42,0.75,54.35,470,70.79,2.53,NA,NA,NA
pK 67,2003,7,21.925,24.085,NA,8.23,1.42,12.01,0.24,0.44,5.76,NA,33.215,1.37,NA,NA,NA
pK 67,2003,8,24.245,27.72,NA,8.18,0.37,1.33,0.52,0.56,NA,NA,51.11,4.7,NA,NA,NA
pK 67,2003,9,20.65,28.115,NA,7.98,0.03,11.36,1.59,0.77,10.77,NA,145,2.56,NA,NA,NA
pK 67,2003,10,15.87,26.69,NA,NA,0.04,7.19,0.44,0.53,16.96,NA,75.07,1.17,NA,NA,NA
pK 67,2003,11,12.49,23.06,NA,8.04,0.71,33.71,1.04,1.28,37.14,NA,93.59,1.5,NA,NA,NA
pK 67,2004,1,9.08,14.31,6.85,7.77,0.93,57.41,0.18,1.68,103.44,1961,114,0.73,NA,NA,NA
pK 67,2004,3,9.71,20.3,7.2,8.05,0.54,66.51,0.08,0.95,44.28,743,39.3,1.05,NA,NA,NA
pK 67,2004,4,13.765,12.87,5.91,8.025,0.02,37,0.08,1.34,19.04,1070,70.4,2.25,NA,NA,NA
pK 67,2004,5,16.5,16.82,5.32,7.77,0.03,NA,NA,NA,35.43,513,22.1,1.83,NA,NA,NA
pK 67,2004,6,19.14,16.615,5.23,8,0.17,37.63,0.56,4.8,6.95,2008,99.4,2.54,NA,NA,NA
pK 67,2004,7,19.37,22.47,5.085,8.075,0.01,10.66,0.04,1.43,20.92,519,16,4.67,NA,NA,NA
pK 67,2004,8,21.48,25.91,5.235,8.125,0.24,18.12,0.48,1.71,8.7,1530,55,5.15,NA,NA,NA
pK 67,2004,9,21.35,27.42,5.72,8.155,1.81,16.93,0.52,1.93,9.94,2798,150,NA,NA,NA,NA
pK 67,2004,10,16.31,24.37,5.6,8.105,1.36,NA,0.61,0.85,22.63,1797,88,1.27,NA,NA,NA
pK 67,2004,11,14.835,22.685,5.995,8.07,0.22,10,0.29,0.23,6.3,1456,91,NA,NA,NA,NA
pK 67,2005,1,9.19,25.01,6.87,8.28,NA,57.1,0.2,2.94,NA,885,44.3,0.67,NA,NA,NA
pK 67,2005,3,7.61,26,7.05,8.16,NA,28.4,0.06,1.72,NA,1600,110,0.41,NA,NA,NA
pK 67,2005,4,12.395,18.88,6.125,8.1,0.69,66.9,0.16,3.53,43.98,500,81.4,0.58,NA,NA,NA
pK 67,2005,5,15.855,17.665,5.985,8.035,0.53,52.8,0.21,2.63,34.2,620,53.6,1.26,NA,NA,NA
pK 67,2005,6,21.825,23.08,5.03,8.045,0.26,16.14,0.22,0.57,6,690,36.55,1.17,NA,NA,NA
pK 67,2005,7,21.34,23.445,5.85,8.085,2.37,11.7,0.22,0.7,22.7,2550,59.1,1.61,NA,NA,NA
pK 67,2005,8,20.22,25.965,5.56,7.96,2.28,28.1,0.805,1.485,15.3,205,20.55,1.51,NA,NA,NA
pK 67,2005,9,19.895,21.245,5.445,8.005,0.78,39.25,0.605,1.625,31.7,345,13.9,0.85,NA,NA,NA
pK 67,2005,10,17.52,24.54,5.375,7.835,1.72,54.65,0.54,1.87,11.7,830,81.3,2.125,NA,NA,NA
pK 67,2005,11,16,25.63,5.67,8.09,0.91,15.8,1.14,0.75,16.1,1070,128.05,1.32,NA,NA,NA
pK 67,2006,1,8,24.4,6.99,8.11,5.62,58,0.17,0.91,39.95,1600,89.3,0.44,NA,NA,NA
pK 67,2006,3,8.87,20.48,6.63,8.13,5.33,65.08,0.07,0.3,40.93,1120,65.8,0.43,NA,NA,NA
